order_id,units_sold,unit_price,unit_cost,total_revenue,total_cost,total_profit
320009267,6708,651.21,524.96,4368316.68,3521431.68,846885.0
189965903,3987,651.21,524.96,2596374.27,2093015.52,503358.75
699285638,3015,81.73,56.67,246415.95,170860.05,75555.9
382392299,7234,437.2,263.33,3162704.8,1904929.22,1257775.58
994022214,2117,205.7,117.11,435466.9,247921.87,187545.03
759224212,171,154.06,90.93,26344.26,15549.03,10795.23
223359620,5930,109.28,35.84,648030.4,212531.2,435499.2
902102267,962,205.7,117.11,197883.4,112659.82,85223.58
331438481,8867,437.2,263.33,3876652.4,2334947.11,1541705.29
617667090,273,81.73,56.67,22312.29,15470.91,6841.38
787399423,7842,109.28,35.84,856973.76,281057.28,575916.48
837559306,1266,651.21,524.96,824431.86,664599.36,159832.5
385383069,2269,109.28,35.84,247956.32,81320.96,166635.36
918419539,9606,9.33,6.92,89623.98,66473.52,23150.46
844530045,4063,205.7,117.11,835759.1,475817.93,359941.17
441888415,3457,651.21,524.96,2251232.97,1814786.72,436446.25
508980977,7637,9.33,6.92,71253.21,52848.04,18405.17
114606559,3482,109.28,35.84,380512.96,124794.88,255718.08
647876489,9905,109.28,35.84,1082418.4,354995.2,727423.2
868214595,2847,437.2,263.33,1244708.4,749700.51,495007.89
955357205,282,668.27,502.54,188452.14,141716.28,46735.86
259353148,7215,437.2,263.33,3154398.0,1899925.95,1254472.05
450563752,682,205.7,117.11,140287.4,79869.02,60418.38
569662845,4750,255.28,159.42,1212580.0,757245.0,455335.0
177636754,5518,651.21,524.96,3593376.78,2896729.28,696647.5
705784308,6116,109.28,35.84,668356.48,219197.44,449159.04
505716836,1705,437.2,263.33,745426.0,448977.65,296448.35
699358165,4477,437.2,263.33,1957344.4,1178928.41,778415.99
228944623,8656,81.73,56.67,707454.88,490535.52,216919.36
807025039,5498,109.28,35.84,600821.44,197048.32,403773.12
166460740,8287,651.21,524.96,5396577.27,4350343.52,1046233.75
610425555,7342,109.28,35.84,802333.76,263137.28,539196.48
462405812,5010,651.21,524.96,3262562.1,2630049.6,632512.5
816200339,673,9.33,6.92,6279.09,4657.16,1621.93
585920464,5741,47.45,31.79,272410.45,182506.39,89904.06
555990016,8656,205.7,117.11,1780539.2,1013704.16,766835.04
231145322,9892,437.2,263.33,4324782.4,2604860.36,1719922.04
986435210,6954,668.27,502.54,4647149.58,3494663.16,1152486.42
217221009,9379,47.45,31.79,445033.55,298158.41,146875.14
789176547,3732,154.06,90.93,574951.92,339350.76,235601.16
688288152,8614,255.28,159.42,2198981.92,1373243.88,825738.04
670854651,9654,437.2,263.33,4220728.8,2542187.82,1678540.98
213487374,4513,668.27,502.54,3015902.51,2267963.02,747939.49
663110148,7884,109.28,35.84,861563.52,282562.56,579000.96
286959302,6489,437.2,263.33,2836990.8,1708748.37,1128242.43
122583663,4085,152.58,97.44,623289.3,398042.4,225246.9
827844560,6457,154.06,90.93,994765.42,587135.01,407630.41
430915820,6422,81.73,56.67,524870.06,363934.74,160935.32
180283772,8829,47.45,31.79,418936.05,280673.91,138262.14
494747245,5559,255.28,159.42,1419101.52,886215.78,532885.74
513417565,522,9.33,6.92,4870.26,3612.24,1258.02
345718562,4660,47.45,31.79,221117.0,148141.4,72975.6
621386563,948,651.21,524.96,617347.08,497662.08,119685.0
240470397,9389,47.45,31.79,445508.05,298476.31,147031.74
423331391,2021,651.21,524.96,1316095.41,1060944.16,255151.25
660643374,7910,437.2,263.33,3458252.0,2082940.3,1375311.7
963392674,8156,47.45,31.79,387002.2,259279.24,127722.96
512878119,888,109.28,35.84,97040.64,31825.92,65214.72
810711038,6267,9.33,6.92,58471.11,43367.64,15103.47
728815257,1485,154.06,90.93,228779.1,135031.05,93748.05
559427106,5767,81.73,56.67,471336.91,326815.89,144521.02
665095412,5367,668.27,502.54,3586605.09,2697132.18,889472.91
